""2021-10-05 17:24:22" DEBUG Starting new HTTPS connection (1): httpbin.org"
""2021-10-05 17:24:23" DEBUG https://httpbin.org:443 "GET /anything HTTP/1.1" 200 973"
""2021-10-05 17:24:23" DEBUG https://httpbin.org:443 "GET /basic-auth/fahad/my_pass HTTP/1.1" 200 48"
""2021-10-05 17:24:24" DEBUG https://httpbin.org:443 "GET /bearer HTTP/1.1" 200 396"
""2021-10-05 17:24:24" DEBUG https://httpbin.org:443 "GET /digest-auth/auth/fahad/my_pass HTTP/1.1" 401 0"
""2021-10-05 17:24:24" DEBUG https://httpbin.org:443 "GET /digest-auth/auth/fahad/my_pass HTTP/1.1" 200 48"
""2021-10-05 17:24:24" DEBUG https://httpbin.org:443 "GET /digest-auth/auth/fahad/my_pass/MD5 HTTP/1.1" 401 0"
""2021-10-05 17:24:24" DEBUG https://httpbin.org:443 "GET /digest-auth/auth/fahad/my_pass/MD5 HTTP/1.1" 200 48"
""2021-10-05 17:24:25" DEBUG https://httpbin.org:443 "GET /digest-auth/auth/fahad/my_pass/MD5/never HTTP/1.1" 401 0"
""2021-10-05 17:24:25" DEBUG https://httpbin.org:443 "GET /digest-auth/auth/fahad/my_pass/MD5/never HTTP/1.1" 200 48"
""2021-10-05 17:24:25" DEBUG https://httpbin.org:443 "GET /hidden-basic-auth/fahad/my_pass HTTP/1.1" 200 48"
""2021-10-05 17:24:25" DEBUG https://httpbin.org:443 "GET /cookies HTTP/1.1" 200 77"
""2021-10-05 17:24:26" DEBUG https://httpbin.org:443 "GET /cookies/set?freeform=testingForm HTTP/1.1" 302 223"
""2021-10-05 17:24:26" DEBUG https://httpbin.org:443 "GET /cookies HTTP/1.1" 200 109"
""2021-10-05 17:24:26" DEBUG https://httpbin.org:443 "GET /cookies/set/Site/google.com HTTP/1.1" 302 223"
""2021-10-05 17:24:27" DEBUG https://httpbin.org:443 "GET /cookies HTTP/1.1" 200 136"
""2021-10-05 17:24:27" DEBUG https://httpbin.org:443 "GET /cookies/delete?freeform=unknown HTTP/1.1" 302 223"
""2021-10-05 17:24:27" DEBUG https://httpbin.org:443 "GET /cookies HTTP/1.1" 200 104"
""2021-10-05 17:24:27" DEBUG https://httpbin.org:443 "GET /base64/SFRUUEJJTiBpcyBhd2Vzb21l HTTP/1.1" 200 18"
""2021-10-05 17:24:27" DEBUG https://httpbin.org:443 "GET /image/webp HTTP/1.1" 200 10568"
""2021-10-05 17:24:28" DEBUG https://httpbin.org:443 "GET /cache HTTP/1.1" 304 0"
""2021-10-05 17:24:28" DEBUG https://httpbin.org:443 "GET /headers HTTP/1.1" 200 872"
""2021-10-05 17:24:28" DEBUG https://httpbin.org:443 "GET /ip HTTP/1.1" 200 33"
""2021-10-05 17:24:28" DEBUG https://httpbin.org:443 "GET /user-agent HTTP/1.1" 200 45"
